source,factuality_old,pro-science,display_name,country,website,category,labels.bias,labels.factuality,media_type,labels.conspiracy,labels.pseudoscience
newswars,1.0,0,NewsWars,USA,https://newswars.com/,questionable-source,extremeright,1.0,,,
newsweek,3.0,0,Newsweek,USA (44/180 Press Freedom),https://www.newsweek.com/,leftcenter,leftcenter,4.0,Magazine,,
newyorkdailynews,4.0,0,New York Daily News,USA (45/180 Press Freedom),https://www.nydailynews.com/,leftcenter,leftcenter,4.0,Organization/Foundation,,
newyorker,4.0,0,New Yorker,USA (45/180 Press Freedom),https://www.newyorker.com/,left,left,4.0,Magazine,,
newyorkpost,2.0,0,New York Post,USA (45/180 Press Freedom),https://nypost.com/,right-center,rightcenter,2.0,Newspaper,,
newyorktimes,4.0,0,New York Times,USA (45/180 Press Freedom),https://www.nytimes.com/,leftcenter,leftcenter,4.0,Newspaper,,
noqreport,2.0,0,NOQ Report,USA (45/180 Press Freedom),https://noqreport.com/,questionable-source,right,1.0,Website,,
notrickszone,1.0,0,NoTricksZone,Germany,https://notrickszone.com/,conspiracy,,1.0,,2.0,5.0
now8news,0.0,0,Now8News,Unknown,http://now8news.com/,questionable-source,,0.0,,,
nowtheendbegins,0.0,0,Now the End Begins,USA,https://www.nowtheendbegins.com,conspiracy,,0.0,,5.0,3.0
nutritionfactsorg,2.0,0,NutritionFacts.org - Media Bias/Fact Check,USA,https://nutritionfacts.org/,conspiracy,,2.0,,1.0,3.0
oann,1.0,0,One America News Network (OAN),USA (44/180 Press Freedom),https://www.oann.com,questionable-source,right,1.0,TV Station,,
occupydemocrats,1.0,0,Occupy Democrats,USA (44/180 Press Freedom),occupydemocrats.com,questionable-source,extremeleft,1.0,Organization/Foundation,,
occupyyourself,2.0,0,Occupy Yourself,USA,https://occupyyourself.org,conspiracy,,2.0,,3.0,3.0
offguardian,2.0,0,OffGuardian,Unknown,https://off-guardian.org,conspiracy,,2.0,Website,4.0,4.0
organicfacts,2.0,0,Organic Facts,India,https://www.organicfacts.net,conspiracy,,2.0,,1.0,2.0
oyenews,0.0,0,Oye.news - Media Bias/Fact Check,United Kingdom,https://www.oye.news,conspiracy,,0.0,,5.0,5.0
palmerreport,2.0,0,Palmer Report,USA (44/180 Press Freedom),https://www.palmerreport.com,left,left,2.0,Website,,
pbs,4.0,0,PBS NewsHour,USA (45/180 Press Freedom),https://www.pbs.org/newshour/,leftcenter,leftcenter,4.0,TV Station,,
personalliberty,1.0,0,Personal Liberty,USA,https://personalliberty.com/,questionable-source,extremeright,1.0,,,
petapeoplefortheethicaltreatmentofanimals,2.0,0,PETA (People for the Ethical Treatment of Animals),,https://www.peta.org/,conspiracy,,2.0,,2.0,4.0
pinknews,4.0,0,PinkNews,United Kingdom,https://www.pinknews.co.uk,left,left,4.0,,,
politicalinsider,1.0,0,Political Insider,USA (45/180 Press Freedom),https://thepoliticalinsider.com,questionable-source,extremeright,1.0,Website,,
politicalwire,4.0,0,Political Wire,USA,https://politicalwire.com,center,,4.0,,,
politico,4.0,0,Politico,USA (44/180 Press Freedom),https://www.politico.com,leftcenter,leftcenter,4.0,Website,,
politicususa,2.0,0,PoliticusUSA,USA (44/180 Press Freedom),https://www.politicususa.com,left,left,2.0,Website,,
powerline,2.0,0,Power Line,USA,https://www.powerlineblog.com/,right,right,2.0,,,
prepareforchange,1.0,0,Prepare for Change,Unknown,https://prepareforchange.net,conspiracy,,1.0,,5.0,5.0
principiascientificinternational,1.0,0,Principia Scientific International (PSI),United Kingdom (35/180 Press Freedom),https://principia-scientific.org/ or https://principia-scientific.com/,conspiracy,,1.0,Website,4.0,4.0
prisonplanet,0.0,0,Prison Planet,USA,http://www.prisonplanet.com/,conspiracy,,0.0,,5.0,5.0
prntly,1.0,0,Prntly,Unknown,https://prntly.com/,questionable-source,extremeright,1.0,,,
rferl,,0,Radio Free Europe / Radio Liberty - Media Bias/Fact Check,USA,https://www.rferl.org,center,,3.0,,,
rapturenewsnetwork,1.0,0,Rapture News Network,USA,https://www.rapturenewsnetwork.com/,conspiracy,,1.0,,4.0,4.0
rawstory,2.0,0,Raw Story,USA (45/180 Press Freedom),https://www.rawstory.com/,left,left,2.0,Website,,
realclearpolitics,3.0,0,Real Clear Politics,USA (45/180 Press Freedom),https://www.realclearpolitics.com,right-center,rightcenter,3.0,Website,,
realclimatescience,1.0,0,Real Climate Science,USA,https://realclimatescience.com/,conspiracy,,1.0,,3.0,5.0
realfarmacy,1.0,0,RealFarmacy,Unknown,https://www.realfarmacy.com/,conspiracy,,1.0,,4.0,5.0
realjewnews,1.0,0,Real Jew News,USA (45/180 Press Freedom),http://www.realjewnews.com/,conspiracy,,0.0,Website,5.0,3.0
redoubtnews,2.0,0,Redoubt News,USA (45/180 Press Freedom),https://redoubtnews.com/,conspiracy,,2.0,Website,4.0,2.0
redstate,2.0,0,RedState,USA (45/180 Press Freedom),https://www.redstate.com,questionable-source,right,2.0,Website,,
